Wyniki transformacji plh2xyz:
X[m], Y[m], Z[m]
          4672714.585,         -10614904.057,           7091469.777
         -9075074.110,           6875484.775,          -7423830.398
         10978281.587,          -1492685.761,           7869471.757
         -9890249.289,          -3991442.690,          -8417890.481
          2074234.109,          -1707980.568,          13307760.933
          3638172.761,         -12818800.704,           2705271.323
         -1990371.048,         -12588692.831,           4727209.311
         -1796656.340,           9603652.805,          -9438296.965
         13517019.316,           -295938.984,          -1446151.738
          3637686.073,         -12818893.353,           2705486.111
          7849766.942,         -10825350.729,           2463565.706
          7922077.407,           7008699.495,          -8531888.025
