Wyniki_obliczen_Geodezyjnych; X, Y, Z, fi, lambda, h.
          X                    Y                    Z                    fi                 lambda                        h
          3664940.500          1409153.590          5009571.170     2984°57′13.76032″   1205°01′05.14797″              141.399
          3664940.510          1409153.580          5009571.167     2984°57′13.74850″   1205°01′05.10907″              141.400
          3664940.520          1409153.570          5009571.167     2984°57′13.74010″   1205°01′05.07018″              141.403
          3664940.530          1409153.560          5009571.168     2984°57′13.73283″   1205°01′05.03128″              141.408
          3664940.520          1409153.590          5009571.170     2984°57′13.73302″   1205°01′05.12637″              141.410
          3664940.514          1409153.584          5009571.166     2984°57′13.73980″   1205°01′05.11599″              141.402
          3664940.525          1409153.575          5009571.166     2984°57′13.72951″   1205°01′05.07882″              141.407
          3664940.533          1409153.564          5009571.169     2984°57′13.72778″   1205°01′05.03928″              141.411
          3664940.515          1409153.590          5009571.170     2984°57′13.73984″   1205°01′05.13177″              141.407
          3664940.514          1409153.584          5009571.169     2984°57′13.74322″   1205°01′05.11599″              141.405
          3664940.515          1409153.595          5009571.169     2984°57′13.73608″   1205°01′05.14581″              141.408
          3664940.513          1409153.584          5009571.171     2984°57′13.74686″   1205°01′05.11707″              141.406
